Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR3655292,2018-10-30 16:42:11,2018-10-30 16:27:35,77984,38992000,77984,500,25,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR003/655/SRR3655292/SRR3655292.sralite.1,SRX1835605,D20131008,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996769,SAMN05204146,simple,1592332,sludge metagenome,D20131008,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,24D3E7AC7CF061B504152B582CCEAF08,B330AC33A4CB8098FFAE338D6E2A1671
SRR8135962,2018-10-30 16:42:11,2018-10-30 16:28:16,85395,42697500,85395,500,28,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135962/SRR8135962.sralite.1,SRX4956948,D20131009,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996770,SAMN05204147,simple,1592332,sludge metagenome,D20131009,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,BD4A10C7E0DB968A9EFDAF969B4FA260,D461FCC89AB90230848114DE61C92749
SRR8135963,2018-10-30 16:43:11,2018-10-30 16:28:38,91107,45553500,91107,500,29,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135963/SRR8135963.sralite.1,SRX4956949,D20131010,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996771,SAMN05204148,simple,1592332,sludge metagenome,D20131010,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,199711E5BE7F2794D4685A204672D641,485FD843ACE547C715A9F39886CE4C38
SRR8135964,2018-10-30 16:47:22,2018-10-30 16:33:04,88516,44258000,88516,500,29,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135964/SRR8135964.sralite.1,SRX4956950,D20131011,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996772,SAMN05204149,simple,1592332,sludge metagenome,D20131011,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,E634463B60537A40D39A4B61B55939D9,C070C2265E38EE93C4496DD4404976E8
SRR8135965,2018-10-30 16:45:10,2018-10-30 16:29:21,78499,39249500,78499,500,25,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135965/SRR8135965.sralite.1,SRX4956951,D20131015,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996773,SAMN05204150,simple,1592332,sludge metagenome,D20131015,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,83A81F17D4C42C5324F16DCB32A448B6,F6786AE4720F3CB3089A1D5D11290711
SRR8135966,2018-10-30 16:46:11,2018-10-30 16:30:50,118625,59312500,118625,500,38,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135966/SRR8135966.sralite.1,SRX4956952,D20131016,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996774,SAMN05204151,simple,1592332,sludge metagenome,D20131016,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,D4AFFAD7DC30F26DE71A56A8871FF291,1E4B70CCC1E3B877E44C2C9B199B40B0
SRR8135967,2018-10-30 16:49:17,2018-10-30 16:31:59,112020,56010000,112020,500,36,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135967/SRR8135967.sralite.1,SRX4956953,D20131017,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996775,SAMN05204152,simple,1592332,sludge metagenome,D20131017,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,8A5AD78185A8BDF40689B69889D9C6E9,D923BFA5FAFF07D1429F15B59666DA66
SRR8135968,2018-10-30 16:45:10,2018-10-30 16:29:24,107081,53540500,107081,500,34,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135968/SRR8135968.sralite.1,SRX4956954,D20131018,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996776,SAMN05204153,simple,1592332,sludge metagenome,D20131018,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,0F5E1096A6C68FDA1F76BC61F8EE52C8,176DDE99BB33DD9590DD37DC314F45EF
SRR8135969,2018-10-30 16:46:11,2018-10-30 16:32:14,114629,57314500,114629,500,37,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135969/SRR8135969.sralite.1,SRX4956955,D20131021,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996777,SAMN05204154,simple,1592332,sludge metagenome,D20131021,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,4464EE7E3AB41D11D6D25445A3841546,3E2080B64FDC9D4DE441591DBD1F1C66
SRR8135970,2018-10-30 16:51:11,2018-10-30 16:31:54,90610,45305000,90610,500,29,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/135/SRR8135970/SRR8135970.sralite.1,SRX4956956,D20131022,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP076346,PRJNA324303,,324303,SRS3996778,SAMN05204155,simple,1592332,sludge metagenome,D20131022,,,,,,,no,,,,,THE UNIVERSITY OF HONG KONG,SRA432728,,public,68DE291D689B9D9F2655DD557A7EF732,3EDDC791037779A48F57E1999803A324
